"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1845512679471149201","Sun Oct 13 23:58:05 +0000 2024","16","@yanatau_ @idextratime Siapapun yg punya ide nge hack akun timnas bahrain sy mengucapkan beribu ribu terimakasih.","1845615019893084431","","yanatau_","in","Kota Surabaya, Jawa Timur","0","2","0","https://x.com/MRezaforbid/status/1845615019893084431","1044266359","MRezaforbid"
"1845614892986106052","Sun Oct 13 23:57:35 +0000 2024","13","Pembangunan LRT oleh pemerintahan Jokowi adalah solusi transportasi yang modern cepat dan ramah lingkungan untuk masyarakat perkotaan LRT menjadi simbol kemajuan kota - kota besar di Indonesia #TerimaKasihPakJokowi Manchester United Nurul Bahrain Cat 1 https://t.co/fwczYKv7Mg","1845614892986106052","https://pbs.twimg.com/media/GZzw9YGbYAAFcz2.jpg","","in","Bdg","0","5","13","https://x.com/m1zon3/status/1845614892986106052","1598153275404341248","m1zon3"
"1845614883943141525","Sun Oct 13 23:57:32 +0000 2024","1","Dah 3 hari tapi gedegnya masih sumpah lu Bahrain gue doain posisi lu paling bawah di klasemen!!","1845614883943141525","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/sajiwica/status/1845614883943141525","3253599666","sajiwica"
"1845339897584025890","Sun Oct 13 23:57:21 +0000 2024","0","@gilabola_ina Klo kmrn vs bahrain menang bisa 20 poin kita bawa soalnya sisanya selain lawan jpn kita yg menang","1845614834643300434","","gilabola_ina","in","","0","1","0","https://x.com/pcrdks/status/1845614834643300434","1825898322353344513","pcrdks"
"1845614824086213001","Sun Oct 13 23:57:18 +0000 2024","13","Mari Kita Dukung Dan Sukseskan Pilkada Serentak 2024 Ayo masyarakat seluruh Indonesia kita dukung dan sukseskan pilkada serentak satu suara sangat penting hak pilih kita untuk masa depan yang lebih gemilang. Manchester United Nurul Bahrain Cat 1 Dating Nikmir Knetz Guru Gembul https://t.co/JiMtwNRA1R","1845614824086213001","https://pbs.twimg.com/media/GZzw5qAacAA5mwS.jpg","","in","Indonesian","2","4","12","https://x.com/NadiaPuspita__/status/1845614824086213001","322559270","NadiaPuspita__"
"1845614557924077706","Sun Oct 13 23:56:15 +0000 2024","42","Media Sosial Bahrain dan Websitenya dikabarkan kena cyber attack. Berikut unggahan terbaru dari akun federasinya @BahrainFA pada Senin (14/10/2024) dini hari WIB. https://t.co/yHWZEZhkez","1845614557924077706","https://pbs.twimg.com/media/GZzwFLOaMAAF_-h.jpg","","in","Jakarta Capital Region","4","4","7","https://x.com/beritainbola/status/1845614557924077706","1574061914396979202","beritainbola"
"1845614551750070358","Sun Oct 13 23:56:13 +0000 2024","2","Arab Saudi tolak bertanding lawan Bahrain sampe masalah diselesaikan Karena Arab Saudi tak mau disangkut pautkan sebaga negara #AFCmafia","1845614551750070358","","","in","Bandung Indonesia","0","0","0","https://x.com/heruw95/status/1845614551750070358","59403666","heruw95"
"1845614347911094782","Sun Oct 13 23:55:25 +0000 2024","0","Hiburan pagi akun federasi bahrain ngumumin bahwa diserang cyber diberbagai sisi panik ga ya panik dong netizen Indonesia dilawan dr jumlah warga aja udah kalah jauh mana militan semua nikmatilah bisa mereda kalau udah minta maaf ngakuin kerjasama sama wasit botak bahlul ","1845614347911094782","","","in","Indonesia","0","0","0","https://x.com/deniadea/status/1845614347911094782","231264340","deniadea"
"1845612299031290361","Sun Oct 13 23:55:16 +0000 2024","0","@insideandreans @idextratime Bahrain harus kalah","1845614313429692873","","insideandreans","in","","0","0","0","https://x.com/Ekanand82297187/status/1845614313429692873","1077244209059385349","Ekanand82297187"
"1845515112771408245","Sun Oct 13 23:55:09 +0000 2024","71","@acbsurd @idextratime orang yang magi mumet susahnya cari uang lagi mumet bayar kost bayar cicilan mumet mikirin pemerintahan yang gitu gitu aja mumet karna ayang nikah sama yang lain. eh si bahrain malah bikin masalahotomatis sasaran empuk orang-orang mumet","1845614282928800091","","acbsurd","in","","1","1","2","https://x.com/yawis_ya/status/1845614282928800091","1005096018071904256","yawis_ya"
