"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1845605593274564705","Sun Oct 13 23:20:37 +0000 2024","0","Pos Pasukan UNIFIL PBB Lebanon diserang Yahudi Zionis Termasuk 2 TNI luka Seperti biasa penjajah dan pegenosida Yahudi Zionis salahkan PBB Senin Minggu Panas Timnas Indonesia China Wasit 20 Oktober 2024 Bahrain Berani PSSI FIFA FOMO #TimnasDay https://t.co/jDQua7g4a9","1845605593274564705","https://pbs.twimg.com/media/GZznGrmacAAwL32.png","","in","","0","0","0","https://x.com/BukuTerbit/status/1845605593274564705","1302393835532644353","BukuTerbit"
"1845605505395564797","Sun Oct 13 23:20:16 +0000 2024","0","Bahrain vs Indonesia #AFCMafia","1845605505395564797","","","in","","0","0","0","https://x.com/rahabav_joseph/status/1845605505395564797","4857760106","rahabav_joseph"
"1845605047562043618","Sun Oct 13 23:18:27 +0000 2024","0","@idextratime @panditfootball ini akun pendukung wasit bahrain vs indonesia","1845605047562043618","","idextratime","in","Karanganyar, Indonesia","0","0","0","https://x.com/tono_on/status/1845605047562043618","222842543","tono_on"
"1845603678008582344","Sun Oct 13 23:13:01 +0000 2024","15","Terima kasih Presiden Joko Widodo. Ungkapan terimakasih datang dari Ketua Forum Pemuda Indonesia Kab. Bone Bibi Syahputra yg mengapresiasi pembangunan Presiden @jokowi selama 10 tahun ini. 🇮🇩 #TerimakasihPakJokowi Manchester United Nurul Bahrain Cat 1 #TerimaKasihPakJokowi https://t.co/Y7vkuRXCjS","1845603678008582344","https://pbs.twimg.com/ext_tw_video_thumb/1845603063798886400/pu/img/8rB7V17n5HZgv9R9.jpg","","in","DKI Jakarta, Indonesia","0","4","15","https://x.com/rasa2086/status/1845603678008582344","1290494259791933443","rasa2086"
"1845603646161174668","Sun Oct 13 23:12:53 +0000 2024","0","AFC Tanggapi Protes Indonesia Laporan Wasit Laga Bahrain Akan Ditinjau https://t.co/R3nfL6uvuV","1845603646161174668","","","in","Kota Bontang, Kalimantan Timur","0","0","0","https://x.com/pranaladotco/status/1845603646161174668","1256110480994656256","pranaladotco"
"1845603612216692845","Sun Oct 13 23:12:45 +0000 2024","11","BIBI SYAHPUTRA Ketua Forum Pemuda Indonesia-FPI Kab. Bone Selama 2 periode kepemimpinan Presiden Jokowi mampu menangani inflasi pasca Covid-19 pembangunan sarpras pembangunan IKN. #TerimakasihPakJokowi berkat bapak Indonesia smakin maju _ Manchester United Nurul Bahrain Cat 1 https://t.co/XEIs4bdcgu","1845603612216692845","https://pbs.twimg.com/ext_tw_video_thumb/1845603519895945216/pu/img/fnrfYbJF-wfFXQtF.jpg","","in","Jawa Timur, Indonesia","0","4","11","https://x.com/Hansunriko/status/1845603612216692845","1349266626844061696","Hansunriko"
"1845603591408722182","Sun Oct 13 23:12:40 +0000 2024","0","Netizen luar negeri bela Palestina Inilah yang biasa dilakukan penjajah dan pegenosida Yahudi Zionis Jadi itu sebelum 7 Oktober 2023 20 Oktober 2024 Indonesia Panas Timnas Bahrain Berani Wasit","1845603591408722182","","","in","","0","0","0","https://x.com/BukuTerbit/status/1845603591408722182","1302393835532644353","BukuTerbit"
"1845602764233245115","Sun Oct 13 23:09:23 +0000 2024","0","PSSI Bantah Klaim AFC Protes Resmi soal Wasit Laga Indonesia vs Bahrain Sudah Dilayangkan https://t.co/AzRH5LwlPR","1845602764233245115","","","in","","0","0","0","https://x.com/mitrajakartaid/status/1845602764233245115","1672547571875872768","mitrajakartaid"
"1845602677054722402","Sun Oct 13 23:09:03 +0000 2024","2","daerah lain di Indonesia. Tapi KSTP menghancurkan mimpi dan harapan anak2 Papua untuk bersekolah.KSTP tidak ingin Papua maju krn KSTP membakar sekolah dan perpustakaan di Papua. #HancurkanOPMPengacauPapua Manchester United Nurul Bahrain Cat 1","1845602679537742136","","Nidyna10","in","","0","0","2","https://x.com/Nidyna10/status/1845602679537742136","1710309382293004288","Nidyna10"
"1845602677054722402","Sun Oct 13 23:09:02 +0000 2024","14","Sekarang ini yang dibutuhkan masyaraskat Papua adalah bidang pendidikan yg layak utk mengejar ketinggalan dgn daerah atau provinsi lain di Indonesia sehingga masyarakat dpt membangun wilayahnya dgn baik utk setara #HancurkanOPMPengacauPapua Manchester United Nurul Bahrain Cat 1 https://t.co/6J5FZt5D50","1845602677054722402","https://pbs.twimg.com/media/GZzl2ghaUAAVzWt.jpg","","in","","1","4","14","https://x.com/Nidyna10/status/1845602677054722402","1710309382293004288","Nidyna10"
"1845453822480761248","Sun Oct 13 23:04:32 +0000 2024","0","@gilabola_ina Sabar ya .. nanti tanggal 15 Okt 2024 Arab Saudi yang akan membayar lunas kekecewaan timnas Indonesia terhadap permainan kotor Bahrain dan Wasit (Arab Saudi 3 : 0 Bahrain)","1845601543363645746","","gilabola_ina","in","","0","3","0","https://x.com/IKetutMartim/status/1845601543363645746","1689854599","IKetutMartim"
"1845600867975930019","Sun Oct 13 23:01:51 +0000 2024","13","PEMBANGUNAN Gedung PYCH tidak hanya sebagai bentuk pemerataan infrastruktur di Tanah Papua tapi juga sebagai wadah pengembangan sumber daya manusia (SDM) untuk bisa mewujudkan Indonesia emas pada tahun 2045. #HancurkanOPMPengacauPapua Manchester United Nurul Bahrain Cat 1 https://t.co/rVlD6HeiPK","1845600867975930019","https://pbs.twimg.com/media/GZzkJfTaYAAzLBM.jpg","","in","","1","5","12","https://x.com/Nidyna10/status/1845600867975930019","1710309382293004288","Nidyna10"
"1845600702795784641","Sun Oct 13 23:01:11 +0000 2024","12","IKN magnet pertumbuhan ekonomi baru dan sentra inovasi dlm mengakselerasi Indonesia Maju 2045 Membangun IKN berarti menciptakan ruang untuk kolaborasi dan kreativitas Yang akan memajukan bangsa ke arah yang lebih cerah. #TerimakasihPakJokowi Manchester United Nurul Bahrain Cat 1 https://t.co/AxoeYA4ahC","1845600702795784641","https://pbs.twimg.com/media/GZzkDhcaEAAeDXt.jpg","","in","","1","3","11","https://x.com/Tatarori80/status/1845600702795784641","1373275046970462214","Tatarori80"
"1845600552333562080","Sun Oct 13 23:00:36 +0000 2024","2","daerah lain di Indonesia. Tapi KSTP menghancurkan mimpi dan harapan anak2 Papua untuk bersekolah.KSTP tidak ingin Papua maju krn KSTP membakar sekolah dan perpustakaan di Papua. #HancurkanOPMPengacauPapua Manchester United Nurul Bahrain Cat 1","1845600554879459580","","Nidyna10","in","","0","0","2","https://x.com/Nidyna10/status/1845600554879459580","1710309382293004288","Nidyna10"
"1845600552333562080","Sun Oct 13 23:00:35 +0000 2024","2","Sekarang ini yang dibutuhkan masyaraskat Papua adalah bidang pendidikan yg layak utk mengejar ketinggalan dgn daerah atau provinsi lain di Indonesia sehingga masyarakat dpt membangun wilayahnya dgn baik utk setara #HancurkanOPMPengacauPapua Manchester United Nurul Bahrain Cat 1","1845600552333562080","","","in","","0","1","2","https://x.com/Nidyna10/status/1845600552333562080","1710309382293004288","Nidyna10"
"1845600512802201694","Sun Oct 13 23:00:26 +0000 2024","15","Terima kasib bapak Presiden Joko Widodo Berkat tangan dinginmu Indonesia semakin maju Bibi Syahputra Ketua Forum Pemuda Indonesia - FPI kab Bone #TerimakasihPakJokowi Manchester United Nurul Bahrain Cat 1 https://t.co/6LvFxncAit","1845600512802201694","https://pbs.twimg.com/ext_tw_video_thumb/1845600385383477249/pu/img/XaQoBY3AlWYQI9SL.jpg","","in","","1","5","14","https://x.com/Nidyna10/status/1845600512802201694","1710309382293004288","Nidyna10"
"1845600475909144859","Sun Oct 13 23:00:17 +0000 2024","15","Terimakasih Pak @jokowi berkat tangan dingin mu Indonesia semakin maju. Mampu menangani inflasi pasca Covid-19. Bibi Syahputra. Ketua Forum Pemuda Indonesia Kab. Bone #TerimakasihPakJokowi Manchester United Nurul Bahrain Cat 1 https://t.co/xz9oXGJOnW","1845600475909144859","https://pbs.twimg.com/ext_tw_video_thumb/1845600422779891712/pu/img/iNaqO8e1xd8aJ9AG.jpg","","in","Indonesia","2","3","12","https://x.com/Chalatea1/status/1845600475909144859","1438179494498504706","Chalatea1"
"1845515112771408245","Sun Oct 13 23:00:09 +0000 2024","2","@chopstickforyou @idextratime gak mungkin sih kalau cuma war medsos tapi kalau pertandingan bahrain di Indonesia semoga penonton timnas gak berlebihan (meski kita ada dendam) tapi jgn sampai berlebihan)","1845600439968174170","","chopstickforyou","in","","0","0","0","https://x.com/zen80753899/status/1845600439968174170","1813559576865984513","zen80753899"
"1845515112771408245","Sun Oct 13 22:57:38 +0000 2024","0","@idextratime https://t.co/NYsXzUUb5z Netizen2 Indonesia sekalian serang nih perusahaan minyaknya Bahrain sumber duit yg bawa masalah buat kita nih dri perusahaan ini nih... Hancurkan dri semua platform medsos yuuk...","1845599806380761150","","idextratime","in","","0","0","0","https://x.com/ArifNasfi05/status/1845599806380761150","870509938182832129","ArifNasfi05"
"1845598754277327278","Sun Oct 13 22:53:27 +0000 2024","0","Soal Kontroversi Laga Bahrain vs Indonesia PSSI Ajukan Dua Pertanyaan Penting ke FIFA https://t.co/fgiQ4kEWX1 #TimnasIndonesia #TimnasDay #KitaGaruda #GarudaMendunia","1845598754277327278","","","in","","0","0","0","https://x.com/Alonesiacom/status/1845598754277327278","1442722911475814408","Alonesiacom"
"1845598613579202784","Sun Oct 13 22:52:53 +0000 2024","0","Ahmed Abu Bakar Said Al-Kaf memberi pernyataan bhw ia tdk bersalah menambah waktu tambahan di laga Bahrain-indonesia yg akhirnya merugikan pihak Indonesia. Ia dgn angkuh mengatakan bhw penambahan waktu adalah hak penuh seorg wasit #subur88 #kartubet88 #zonabola #jadwalbola https://t.co/STVHkmAt5i","1845598613579202784","https://pbs.twimg.com/ext_tw_video_thumb/1845598369399386113/pu/img/Ybd-CA2cOafXG3lm.jpg","","in","Indonesia","0","0","0","https://x.com/zonabola__/status/1845598613579202784","1813260926608678915","zonabola__"
"1845517510134878354","Sun Oct 13 22:48:14 +0000 2024","109","@aingriwehuy Silahkan berkunjung katanya rakyat Indonesia gak normal.. Foto grafer bahrain... https://t.co/jQSRrJwr02","1845597441594442224","https://pbs.twimg.com/media/GZzhFifaYAA8FEa.jpg","aingriwehuy","in","Bekasi Barat, Indonesia","1","4","15","https://x.com/ARIMBI333/status/1845597441594442224","1234429257784397826","ARIMBI333"
"1845595546393952354","Sun Oct 13 22:40:42 +0000 2024","1","Kualifikasi Piala Dunia: Bahrain Dibantu Wasit untuk Imbangi Indonesia Dalam laga Kualifikasi Piala Dunia 2026 di Riffa Kamis (10/10) Timnas Indonesia berhasil menahan imbang 2-2 lawan Bahrain. Ragnar Oratmangoen dan Rafael Struick jadi pencetak gol. https://t.co/dgGd2bQTvs","1845595546393952354","","","in","Jakarta, Indonesia","0","0","0","https://x.com/lawjusticeco/status/1845595546393952354","567966875","lawjusticeco"
"1845427583665709368","Sun Oct 13 22:31:37 +0000 2024","1","@idextratime Surat mah sehari jadi kirim email sedetik nyampe Tp yg susah adalah politiknya Yakin Indonesia berani sama bahrain? Gw malah yakin si et cuma koar2 aja","1845593261404311672","","idextratime","in","","0","0","0","https://x.com/JCTS2023/status/1845593261404311672","1740385979142492160","JCTS2023"
"1844915878120522173","Sun Oct 13 22:28:38 +0000 2024","0","@RikeSants Mohon maaf ya Kaka yang terhormat apakah kau bisa memastikan semua yang marah saat wasit mengakali pertandingan timnas dgn Bahrain diam saat Demokrasi diakali? Bisa dibuktikan kah? Setiap dari kita yang marah pertandingan kemarin tidak peduli soal demokrasi di Indonesia?","1845592508866453634","","RikeSants","in","","0","0","0","https://x.com/jasmine_1294/status/1845592508866453634","1353304936809861121","jasmine_1294"
"1845466702399799601","Sun Oct 13 22:21:50 +0000 2024","0","@gilabola_ina Byk cingcong simplenya liat aja tiap indonesia GOL in selalu di check VAR klo GOL dr bahrain mana ada dia yg ngecheck VAR ","1845590797779091793","","gilabola_ina","in","","0","0","0","https://x.com/thenewkriggs/status/1845590797779091793","1780286518160130048","thenewkriggs"
"1845318304564642056","Sun Oct 13 22:15:11 +0000 2024","10","@SiaranBolaLive Kasih tau : indonesia kalah lawan iraq. Terima . Karena fair play. Nggak licik dan curang. Bahrain negara pecundang","1845589125589762208","","SiaranBolaLive","in","","0","0","0","https://x.com/AriyantiJauza/status/1845589125589762208","1634865011091976192","AriyantiJauza"
"1845588601759019040","Sun Oct 13 22:13:06 +0000 2024","13","Arya Sinulingga Heran Sekjen AFC Bilang PSSI Belum Kirim Surat Protes Soal Wasit di Laga Timnas Indonesia Lawan Bahrain https://t.co/kE0LuFyiSr #TempoBola","1845588601759019040","","","in","Indonesia","3","4","2","https://x.com/tempodotco/status/1845588601759019040","18129942","tempodotco"
"1845587584480899475","Sun Oct 13 22:09:04 +0000 2024","0","Wasit Ahmed Al Kaf Rugikan Timnas Indonesia Kontra Bahrain Punya Tanda Hitam di Jidat Ustaz Adi Hidayat Ledek Bukan Rajin Shalat | Halaman 5 Ahmed Al Kaf bahrain oman afc mafia AFC Mafia FIFA 90+6=99 https://t.co/3PxYzBFBAC","1845587584480899475","","","in","","0","0","0","https://x.com/sahatpsimbolonz/status/1845587584480899475","579492501","sahatpsimbolonz"
